Nome;Razão social;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro;Complemento
58.555.874 THIAGO LIMA DA SILVA;;58555874000195;;;;;;;;;;
7000 - VERACEL CELULOSE S/A;VERACEL CELULOSE S.A.;40551996000148;30262313;GRP_FISCAL_CONTABIL@VERACEL.COM.BR;7331668023;45820970;BA;Eunápolis;BRASILANDIA, BA 275 KM 24;S/N;ZONA RURAL;
ABTCP - Associação Brasileira Técnica de Celulose e Papel;;62259270000179;;;;;;;;;;
ADF EMPRESAS REUNIDAS LTDA;ADF EMPRESAS REUNIDAS LTDA;10508274000140;;compras1@adflog.com.br;31501100;86720000;PR;Sabáudia;AVENIDA DURANTE;3428;PARQUE INDUSTRIAL;CAIXA POSTAL 123
ADF PAPEIS E ONDULADOS LTDA;ADF PAPEIS E ONDULADOS LTDA;01990844000190;;carlos.castro@adflog.com.br;33443042;89839000;SC;Jupiá;ROD ESTADUAL 480;;AREA RURAL;KM 15
ALEMAGRI PETSHOP LTDA;ALEMAGRI PETSHOP LTDA;28879966000160;;CADASTRO@GIANOTTICONTABILIDADE.COM.BR;40323350;12902000;SP;Bragança Paulista;AVENIDA DOS IMIGRANTES;928;JARDIM AMÉRICA;
ALEMORA PETSHOP EIRELI;ALEMORA PETSHOP EIRELI;33875085000100;;CADASTRO@GIANOTTICONTABILIDADE.COM.BR;40323350;12946000;SP;Atibaia;AVENIDA SANTANA;93;NOVA GARDÊNIA;LOJA 02
APLICAÇÕES CDBI;;;;;;;;;;;;
ARACAURIA INDUSTRIA E COMERCIO DE PAPEIS LTDA;ARAUCARIA INDUSTRIA E COMERCIO DE PAPEIS LTDA;03505376000146;9020115600;matheus@araucariapapeis.com;46999209363;85560000;PR;Chopinzinho;LOC DE LINHA ALEGRIA;S/N;INTERIOR;
AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;AVELINO BRAGAGNOLO S A INDUSTRIA E COMERCIO;84586833000257;250358522;bragagnolo@bragagnolo.com.br;4944173000;89694000;SC;Faxinal dos Guedes;ROD FAG-050 KM 13;S/N;BARRA GRANDE;
B FEU MECANICA DISEL LTDA;;32022763000120;;;;;;;;;;
BIGNARDI IND E COM PAP ARTEF LTDA;BIGNARDI IND E COM PAP ARTEF LTDA;61192522000127;;;1131244208;13211771;SP;Jundiaí;AV ANTONIO PINCINATO;7600;ERMIDA;
BIOGREEN INDUSTRIA QUIMICA LTDA;;;;adm@biogreenquimica.com.br;11996596915;;;;;;;
BIOGREEN INDÚSTRIA QUÍMICA LTDA;;21735150000202;;CONTATO@BIOGREENQUIMICA.COM.BR;;45829116;BA;Eunápolis;RUA DAS FLORES;04;URBIS I;
Bruno Toledo Lima Vaz;;;;;;;;;;;;
CARVALHEIRA INDÚSTRIA DE PAPÉIS LTDA;CARVALHEIRA INDÚSTRIA DE PAPÉIS LTDA;11405532000125;;CARVALHEIRA@CARVALHEIRARAPAPEIS.COM.BR;40124419;12955000;SP;Bom Jesus dos Perdões;ESTRADA MUNINCIPAL CORONEL NELSON BROTTO;220;GUAXINDUVA;
CASCARDI SANEAMENTO BASICO LTD;;66657891000161;;;;;;;;;;
CHEMICALS UNIVERSAL INDUSTRIAL LTDA;;13530388000184;;;;;;;;;;
CIA SUZANO PAPEL E CELULOSE UNIDADE SUZANO;SUZANO S.A.;16404287004738;672002291110;REGULARIDADES@SUZANO.COM.BR;1136365186;08613900;SP;Suzano;RUA PRUDENTE DE MORAES, 4006;4006;VILA SANTANA;CONJ  FABRICA SUZANO
CIBRAPEL S/A INDUSTRIA DE PAPEL E EMBALAGENS;CIBRAPEL S/A INDUSTRIA DE PAPEL E EMBALAGENS;33352881000320;;;26322313;25946151;RJ;Guapimirim;RUA COMANDANTE BARCELAR;731;CENTRO;
COMERCIAL NOGUEIRA E NOGUEIRA LTDA;COMERCIAL NOGUEIRA E NOGUEIRA LTDA;23951623000145;;CERBONI@SAPUCANET.COM.BR;32412007;37570000;MG;Ouro Fino;R CONSTANT JARDIM,;75;CENTRO;
Compass Minerals America do Sul Industria;;;;;;;;;;;;
CONTECH PRODUTOS BIODEGRADAVEIS S/A;CONTECH PRODUTOS BIODEGRADAVEIS S/A;62239488000161;;elcio.braga@contechbrasil.com;38817200;13278073;SP;Valinhos;RUA CATHARINA FARSARELLA GALLEGO;126;CHÁCARAS SÃO BENTO;
DIALLI DISTRIBUIDORA DE ALIMENTOS LTDA;DIALLI DISTRIBUIDORA DE ALIMENTOS LTDA;02611870000122;;logistica.depositolda5@dialli.com.br;30292800;86075170;PR;Londrina;AVENIDA SARGENTO MAURÍCIO AGOSTINHO PEREIRA;290;PARQUE COMERCIAL QUATI;
Douglas da Silva Pires;;;;;;;;;;;;
DSI - DUTCH STARCHES INTERNATIONAL DO BRASIL AMIDOS LTDA;DSI - DUTCH STARCHES INTERNATIONAL DO BRASIL AMIDOS LTDA;05508838000619;;thiago.correa@dsi.ind.br;35281271;85935000;PR;Assis Chateaubriand;ROD PR 364 - KM 03 - LOTE:69;;GLEBA TUPÃSSI;
EDENILSON MARQUES;;;;;;;;;;;;
ELIEL FRANCISCO MALAQUIAS;;07885340000196;;;;;;;;;;
Expresso Elimar;;;;;;;;;;;;
Francisco Carlos dos Santos;;;;;;;;;;;;
GAFRE LAVANDERIA LTDA ME;;;;;;;;;;;;
GESSO IDEAL;;12774317000164;;;;;;;;;;
GOMES E CAMARGO – SOCIEDADE DE ADVOGADOS;;26545100000197;;;;;;;;;;
GUARA QUIMICA INDUSTRIA E COMERCIO LTDA;;;;;;;;;;;;
Hotel JGF EMPREENDIMENTOS HOTELEIROS;;;;;;;;;;;;
IBERKRAFT INDUSTRIA DE PAPEL E CELULOSE LTDA / UNIDADE GUARAPUAVA;;77124634000180;4010449141;ary@iberkraft.com.br;55423629800;85010290;PR;Guarapuava;Rua Saldanha Marinho;s/n;Centro;
IBERKRAFT INDÚSTRIA DE PAPEL E CELULOSE LTDA – UNIDADE QUEDAS DO IGUAÇU;;77124634000695;9109492768;;;85460000;PR;Quedas do Iguaçu;ROD PR 473, KM2,6, S/N;SN;Centro;
