Nome;Razão social;CPF;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro
1000 MARCAS SAFETY BRASI L LTDA;;;23622391000181;;;;;;;;;
13º Salário;;;;;;;;;;;;
13º Salário - ª Parcela;;;;;;;;;;;;
32.125.458 HELIABES PEREIRACARNEIRO ME;32.125.458 HELIABES PEREIRACARNEIRO ME;;32125458000163;672407751114;;47522065;08696100;SP;Suzano;Av. Presbitero Eliezer Martins Costa;14;Jardim Varan
3ABR CONTROLE E AUTOMACAO;;;;;;;;;;;;
52.309.701 WILLIAN LUIZ ALVES PALANCA;52.309.701 WILLIAN LUIZ ALVES PALANCA;;52309701000100;672658648119;;11992739280;08675460;SP;Suzano;RUA REGINA CABALAU MENDONCA;339;JARDIM SAO LUIS
52725497 CLAUDINEI DE ARAUJO SILVA;;;52725497000109;;;;;;;;;
55.280.293 GERALDO ALAIDE FERNANDES;55.280.293 GERALDO ALAIDE FERNANDES;;55280293000108;137496117119;;0;05641030;SP;São Paulo;Rua Domingos Lopes da Silva;329;Vila Suzana
58.555.874 THIAGO LIMA DA SILVA;;;58555874000195;;;;;;;;;
7000 - VERACEL CELULOSE S/A;VERACEL CELULOSE S.A.;;40551996000148;30262313;GRP_FISCAL_CONTABIL@VERACEL.COM.BR;7331668023;45820970;BA;Eunápolis;BRASILANDIA, BA 275 KM 24;S/N;ZONA RURAL
A4LU COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA.;A4LU COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA.;;27594334000197;140079441;;7332812417;45031040;BA;Eunápolis;AVENIDA ANTONIO CARLOS MAGALHAES;1978;ENCANTO DAS AGUAS
ABC BOMBAS ROTATIVAS LTDA;;;;;;;;;;;;
ABTCP - Associação Brasileira Técnica de Celulose e Papel;;;62259270000179;;;;;;;;;
ABTCP ASSOCIACAO B T C PAPEL;;;;;;;;;;;;
ACEPIL COMERCIAL E IMPORTADORA LTDA;;;43455179000184;;;;;;;;;
Aciplas Comercio de Equipamentos Industriais Ltda;Aciplas Comercio de Equipamentos Industriais Ltda;;04805268000151;116737198113;;1120629272;04221040;SP;São Paulo;Rua Pedro Fachini;186;VL Independencia
ACQUA FERTIL IRRIGAÇÃO BAHIA LTDA;;;12048044000170;;;;;;;;;
ACQUALAB LABORATORIO E CONSULTORIA AMBIENTAL SS LTDA EPP;;;01663201000131;;;;;;;;;
A.C. SILVA COMERCIO DE EQUIPAMENTOS;A.C. SILVA COMERCIO DE EQUIPAMENTOS;;32079098000100;799111446116;;1128330250;09860122;SP;São Bernardo do Campo;AVENIDA ROBERT KENNEDY;2090;INDEPENDENCIA
ACTECH-HIDRÁULICA E PNEUMÁTICA;;;13568976000107;;;;;;;;;
Adisseo;;;;;;;;;;;;
Adriano Aparecido Ferreira;;;;;;;;;;;;
ADRIELLY TRANSPORTES LTDA;;;19749574000195;;;;;;;;;
ADRIELLY TRANSPORTES LTDA;;;19749574000276;;;;;;;;;
AFER INDUSTRIAL LTDA;;;03992516000158;;;;;;;;;
AGFER COMERCIO DE FERRAGENS EIRELI;AGFER COMERCIO DE FERRAGENS EIRELI;;34530620000154;672435611110;;1147461687;08615300;SP;Suzano;RUA PICA PAU;19;VILA NOVA AMORIM
AGRICOLA HORIZONTE LTDA - AMIDOS;AGRICOLA HORIZONTE LTDA - AMIDOS;;77837979001587;9020511556;;4532846535;85975970;PR;Marechal Cândido Rondon;RODOVIA PR 491 KM 06;N/A;DISTRITO NOVO TRES PASSOS
AGRIJET MOGI COMPRESSORES LTDA;AGRIJET MOGI COMPRESSORES LTDA;;23331506000189;454460003119;;1128969004;08730010;SP;Mogi das Cruzes;AVENIDA JAPAO;64;VILA VITORIA
AGROBIOTECH AGRONEGOCIO LTDA;AGROBIOTECH AGRONEGOCIO LTDA;;55480099000168;399053275118;comercial2sp@agrobiotech.com.br;21322000;14680000;SP;Jardinópolis;RUA DOMICIANO LEITE DE ASSIS;260;DIST IND ADIB RASSI
AgroGranja Equipamentos para Avicultura e Suinocultura LTDA;;;54695386000122;;;;;;;;;
Agua das Pedras;;;;;;;;;;;;
Águas polako;;;;;;;;;;;;
AIDC TECNOLOGIA LTDA;AIDC TECNOLOGIA LTDA;;07500596000138;3243563780097;;3536297550;37504110;MG;Itajubá;Avenida Pocos de Caldas;148;Distrito Industrial
AIDC TECNOLOGIA LTDA;;;;;;;;;;;;
AKEEN COSTA ALMEIDA;;;;;;;;;;;;
AKSO PRODUTOS ELETRONICOS LTDA;AKSO PRODUTOS ELETRONICOS LTDA;;05545381000108;1240218220;;5134061717;93032200;RS;São Leopoldo;EMILIO H. DEXHEIMER;357;JARDIM AMERICA
AKSO PRODUTOS ELETRONICOS LTDA;;;;;;;;;;;;
ALABE COMMERCE E SOLUCOES EM INTERNET LTDA;ALABE COMMERCE E SOLUCOES EM INTERNET LTDA;;35115405000150;131690756110;;1123621650;02330003;SP;São Paulo;Avenida Nova Cantareira;2026;Tucuruvi
ALCANTARA MANUTENÇÕES INDUSTRIAIS;;;;;;;;;;;;
ALMEIDA FLEX COMERCIO DE MANGUEIRAS LTDA;ALMEIDA FLEX COMERCIO DE MANGUEIRAS LTDA;;36713713000140;128732442113;;1120463385;08051370;SP;São Paulo;AV AUGUSTO ANTUNES;700;LIMOEIRO
ALQUIMICA;;;40162634000165;;;;;;;;;
ALVO SUPRIMENTOS COMUNICACAO VISUAL LTDA;;;10203952000166;;;;;;;;;
ALX BRASIL COMERCIO PROD QUIMICOS EIRELI;ALX BRASIL COMERCIO PROD QUIMICOS EIRELI;;18604543000264;144961433111;;1150410055;04703004;SP;São Paulo;AVENIDA MORUMBI;8473;SANTO AMARO
ALX BRASIL COMERCIO PROD QUIMICOS EIRELI;;;;;;;;;;;;
AMADEU;;;;;;;;;;;;
